step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1016184376_stopped,1016184376_accumulated_waiting_time,1016184376_average_speed,1016200794_stopped,1016200794_accumulated_waiting_time,1016200794_average_speed,5237321225_stopped,5237321225_accumulated_waiting_time,5237321225_average_speed,9376141054_stopped,9376141054_accumulated_waiting_time,9376141054_average_speed,GS_cluster_1016191643_1016191860_1016192269_1016198634_stopped,GS_cluster_1016191643_1016191860_1016192269_1016198634_accumulated_waiting_time,GS_cluster_1016191643_1016191860_1016192269_1016198634_average_speed,cluster_1016183180_1016185346_1016193503_1016194749_stopped,cluster_1016183180_1016185346_1016193503_1016194749_accumulated_waiting_time,cluster_1016183180_1016185346_1016193503_1016194749_average_speed,cluster_1016184252_1016191971_stopped,cluster_1016184252_1016191971_accumulated_waiting_time,cluster_1016184252_1016191971_average_speed,cluster_1016184655_1016193545_1016201012_9372174241_stopped,cluster_1016184655_1016193545_1016201012_9372174241_accumulated_waiting_time,cluster_1016184655_1016193545_1016201012_9372174241_average_speed,cluster_1016184997_1016188102_1016195714_5921483463_stopped,cluster_1016184997_1016188102_1016195714_5921483463_accumulated_waiting_time,cluster_1016184997_1016188102_1016195714_5921483463_average_speed,cluster_1016185040_1016195865_9372174234_9372174235_stopped,cluster_1016185040_1016195865_9372174234_9372174235_accumulated_waiting_time,cluster_1016185040_1016195865_9372174234_9372174235_average_speed,cluster_1016185522_1016193644_5237321232_5921362889_#1more_stopped,cluster_1016185522_1016193644_5237321232_5921362889_#1more_accumulated_waiting_time,cluster_1016185522_1016193644_5237321232_5921362889_#1more_average_speed,cluster_1016189230_1016195084_5921362584_9371895544_stopped,cluster_1016189230_1016195084_5921362584_9371895544_accumulated_waiting_time,cluster_1016189230_1016195084_5921362584_9371895544_average_speed,cluster_1016191702_1016195035_stopped,cluster_1016191702_1016195035_accumulated_waiting_time,cluster_1016191702_1016195035_average_speed,cluster_1016191801_1016199119_stopped,cluster_1016191801_1016199119_accumulated_waiting_time,cluster_1016191801_1016199119_average_speed,cluster_1016192514_4084049672_5921362888_stopped,cluster_1016192514_4084049672_5921362888_accumulated_waiting_time,cluster_1016192514_4084049672_5921362888_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,6.560428332511623,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,1,0.0,0.0,9.217355402771751,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
30.0,1,0.0,0.0,9.108502144801488,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6054774426833937,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
40.0,1,0.0,0.0,11.619125216398917,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
50.0,1,0.0,0.0,12.010353330333498,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.903433549680612,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
60.0,2,2.0,0.03333333333333333,12.289879200173026,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0,0.00012047423156537657,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0
70.0,2,12.0,0.17142857142857143,14.05183363579857,0,0.0,1.0,0,0.0,1.0,0,0.0,0.46937329003382744,0,0.0,1.0,0,0.0,1.0,1,12.0,0.18361397327524623,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,12.0
80.0,4,35.0,0.4430379746835443,13.132030799516105,0,0.0,1.0,0,0.0,1.0,1,6.0,0.0,0,0.0,1.0,0,0.0,1.0,2,29.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,35.0
90.0,4,65.0,0.7303370786516854,12.699866129944182,0,0.0,1.0,0,0.0,1.0,1,16.0,0.0,0,0.0,1.0,0,0.0,1.0,2,49.0,0.2702976051738508,0,0.0,1.0,0,0.0,0.35056719678875037,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,65.0
100.0,3,6.0,0.061224489795918366,13.015167283805646,0,0.0,0.641516933933563,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,5.0,0.09989585370886361,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,5.0
110.0,4,30.0,0.2830188679245283,14.483525777633256,1,7.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,23.0,0.001349780094238105,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7744500788605597,0,0.0,1.0,0,0.0,1.0,3,30.0
120.0,7,72.0,0.6260869565217392,13.318765015655119,1,17.0,0.0,0,0.0,1.0,1,1.0,0.0023276440909620754,0,0.0,1.0,0,0.0,1.0,3,53.0,0.14453953593576332,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7560149134342629,0,0.0,1.0,1,1.0,0.005393639498111267,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9544074581261784,0,0.0,0.8933676754182173,6,72.0
130.0,8,79.0,0.6422764227642277,13.031569596551787,1,27.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,5.0,1.595240934838472e-05,3,32.0,0.19554183969933572,0,0.0,0.5859722606938493,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,11.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0,9.588266635235479e-06,7,79.0
140.0,5,55.0,0.4166666666666667,12.772332240758983,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,15.0,0.19813213957746154,3,40.0,0.18434900578416458,0,0.0,0.5020020167151992,0,0.0,1.0,0,0.0,0.35969653401921825,0,0.0,1.0,0,5.0,0.35180343095676825,0,0.0,0.4130302707306687,0,0.0,1.0,0,0.0,1.0,0,5.0,0.4321201436696198,4,65.0
150.0,13,109.0,0.7785714285714286,12.73264953545694,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8043687094375859,0,0.0,1.0,0,0.0,1.0,3,59.0,0.00011736765712013694,3,20.0,0.0005054839383153767,0,0.0,1.0,1,5.0,0.2446702193009923,0,0.0,1.0,1,9.0,0.36321401072642495,2,16.0,0.0,0,9.0,0.4166945555169398,0,0.0,0.4026776142335951,2,15.0,1.2871163298959422e-05,12,133.0
160.0,22,263.0,1.7891156462585034,11.670595045690591,0,0.0,0.6158426932745241,0,0.0,1.0,1,1.0,0.0010365940679533457,0,0.0,1.0,0,0.0,0.014330355278673667,3,89.0,0.37921778444889587,4,57.0,0.0,1,1.0,0.0010446157765603389,0,0.0,1.0,0,0.0,1.0,2,23.0,1.0911334581630548e-05,2,36.0,0.0027855672150362658,5,37.0,1.3710870638852089e-05,1,8.0,0.0,2,35.0,0.0,21,287.0
170.0,27,444.0,2.883116883116883,11.85218619241479,0,0.0,0.828397743246457,0,0.0,1.0,2,14.0,0.08431966223383686,0,0.0,1.0,1,10.0,0.0,4,64.0,0.19305658218446528,5,100.0,8.241594989267362e-05,1,11.0,0.0,0,0.0,1.0,0,0.0,1.0,2,43.0,0.0,3,66.0,0.0,5,87.0,0.0,1,18.0,0.0,2,57.0,0.3979519822838407,26,470.0
180.0,31,706.0,4.4125,11.473072637398511,1,6.0,0.0,0,0.0,1.0,3,41.0,0.14970997265832597,0,0.0,1.0,0,0.0,1.0,5,108.0,0.10723057456956821,5,150.0,0.0,1,21.0,0.0,0,0.0,1.0,0,0.0,1.0,2,63.0,0.0,3,96.0,0.07861993042320221,5,137.0,0.0,1,28.0,0.4049990026894,4,80.0,0.00014403557569900988,30,730.0
190.0,9,88.0,0.5176470588235295,13.935634018150898,1,16.0,0.0,0,0.0,1.0,2,32.0,0.0,0,0.0,1.0,0,0.0,1.0,3,30.0,0.3831926907973181,0,0.0,0.7651219305651135,0,0.0,1.0,0,0.0,0.7167074631167186,0,0.0,1.0,0,1.0,0.5288111647951742,0,0.0,0.6387434685396822,0,0.0,1.0,2,10.0,7.514146569807096e-05,0,0.0,1.0,8,89.0
200.0,17,185.0,1.0393258426966292,13.91999576942459,1,26.0,0.0,0,1.0,0.7921734166702329,2,52.0,0.0,0,0.0,1.0,2,2.0,0.16685398378438454,5,67.0,0.04909960428889057,1,6.0,0.0,0,0.0,0.9611371806269922,0,0.0,0.9752054546457102,0,0.0,1.0,1,7.0,0.0,1,5.0,0.2585153191030793,0,0.0,1.0,2,24.0,0.5225229685794834,0,2.0,0.7694061353050778,15,192.0
