step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1016184376_stopped,1016184376_accumulated_waiting_time,1016184376_average_speed,1016200794_stopped,1016200794_accumulated_waiting_time,1016200794_average_speed,5237321225_stopped,5237321225_accumulated_waiting_time,5237321225_average_speed,9376141054_stopped,9376141054_accumulated_waiting_time,9376141054_average_speed,GS_cluster_1016191643_1016191860_1016192269_1016198634_stopped,GS_cluster_1016191643_1016191860_1016192269_1016198634_accumulated_waiting_time,GS_cluster_1016191643_1016191860_1016192269_1016198634_average_speed,cluster_1016183180_1016185346_1016193503_1016194749_stopped,cluster_1016183180_1016185346_1016193503_1016194749_accumulated_waiting_time,cluster_1016183180_1016185346_1016193503_1016194749_average_speed,cluster_1016184252_1016191971_stopped,cluster_1016184252_1016191971_accumulated_waiting_time,cluster_1016184252_1016191971_average_speed,cluster_1016184655_1016193545_1016201012_9372174241_stopped,cluster_1016184655_1016193545_1016201012_9372174241_accumulated_waiting_time,cluster_1016184655_1016193545_1016201012_9372174241_average_speed,cluster_1016184997_1016188102_1016195714_5921483463_stopped,cluster_1016184997_1016188102_1016195714_5921483463_accumulated_waiting_time,cluster_1016184997_1016188102_1016195714_5921483463_average_speed,cluster_1016185040_1016195865_9372174234_9372174235_stopped,cluster_1016185040_1016195865_9372174234_9372174235_accumulated_waiting_time,cluster_1016185040_1016195865_9372174234_9372174235_average_speed,cluster_1016185522_1016193644_5237321232_5921362889_#1more_stopped,cluster_1016185522_1016193644_5237321232_5921362889_#1more_accumulated_waiting_time,cluster_1016185522_1016193644_5237321232_5921362889_#1more_average_speed,cluster_1016189230_1016195084_5921362584_9371895544_stopped,cluster_1016189230_1016195084_5921362584_9371895544_accumulated_waiting_time,cluster_1016189230_1016195084_5921362584_9371895544_average_speed,cluster_1016191702_1016195035_stopped,cluster_1016191702_1016195035_accumulated_waiting_time,cluster_1016191702_1016195035_average_speed,cluster_1016191801_1016199119_stopped,cluster_1016191801_1016199119_accumulated_waiting_time,cluster_1016191801_1016199119_average_speed,cluster_1016192514_4084049672_5921362888_stopped,cluster_1016192514_4084049672_5921362888_accumulated_waiting_time,cluster_1016192514_4084049672_5921362888_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,6.743515278754418,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,1,0.0,0.0,8.5158651011634,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
30.0,1,0.0,0.0,9.03009402996916,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
40.0,1,0.0,0.0,11.14969349617591,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9451719900681035,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
50.0,1,0.0,0.0,11.419442375633844,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.2864216186516333,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
60.0,2,7.0,0.11666666666666667,12.33550324376438,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,7.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,7.0
70.0,4,20.0,0.2857142857142857,13.336536235215489,0,0.0,1.0,0,0.0,1.0,0,0.0,0.23807707036225884,0,0.0,1.0,0,0.0,1.0,2,19.0,0.0002389515752972505,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,19.0
80.0,4,47.0,0.5949367088607594,13.197459598121066,0,0.0,1.0,0,0.0,1.0,1,8.0,0.0,0,0.0,1.0,0,0.0,1.0,2,39.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,47.0
90.0,4,77.0,0.8651685393258427,13.310678394709646,0,0.0,1.0,0,0.0,1.0,1,18.0,0.0,0,0.0,1.0,0,0.0,1.0,2,59.0,0.0,0,0.0,1.0,0,0.0,0.3917890260736368,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,77.0
100.0,1,0.0,0.0,13.626737888489538,0,0.0,0.956138408214463,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3600895855478173,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
110.0,5,22.0,0.205607476635514,14.826702169397453,1,4.0,3.942978963952303e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,18.0,0.20067821382544976,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.962404924724846,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,4,22.0
120.0,8,70.0,0.603448275862069,13.518980163185836,1,14.0,0.0,0,0.0,1.0,1,2.0,0.0007963918123820098,0,0.0,1.0,0,0.0,1.0,4,53.0,1.2760554336601478e-06,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.003946642205457889,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9682334385188404,0,0.0,0.8367851357232986,7,70.0
130.0,9,96.0,0.7741935483870968,12.831666038490544,1,24.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0,6.580337053894146e-05,3,54.0,0.20808470410139118,1,3.0,0.00025134589309989085,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,11.0,0.5,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,5.0,0.0,8,100.0
140.0,6,60.0,0.44776119402985076,12.922717833073518,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,13.0,0.20712728837654942,2,47.0,0.27871269192070325,0,0.0,1.0,0,0.0,1.0,0,0.0,0.17476967864514495,0,0.0,1.0,0,5.0,0.3445574414760543,0,0.0,0.8103808476587026,0,0.0,1.0,0,0.0,1.0,2,9.0,0.08483367878980158,5,74.0
150.0,15,135.0,0.9574468085106383,12.6584195914765,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,76.0,0.0,3,18.0,0.019669836544052056,0,0.0,1.0,2,14.0,0.0,0,0.0,1.0,1,9.0,0.00010436958373999099,1,5.0,0.0,0,18.0,0.5091616419715635,0,0.0,1.0,3,32.0,8.51047645346233e-05,13,172.0
160.0,16,237.0,1.6013513513513513,12.029314904258039,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,93.0,0.3806656069484027,4,55.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,19.0,0.05590656903807493,1,15.0,0.0,4,37.0,0.0008650404334062569,0,0.0,1.0,3,62.0,0.0,15,281.0
170.0,23,368.0,2.4052287581699345,12.091279625971518,0,0.0,1.0,0,0.0,1.0,1,6.0,0.1955994497522176,0,0.0,1.0,1,5.0,0.00015680828356887705,5,71.0,0.0005472353348858235,5,102.0,0.0,0,0.0,0.5445037310024933,0,0.0,1.0,0,0.0,1.0,2,38.0,0.0,1,25.0,0.1604942342703828,4,86.0,0.010249694287908926,0,0.0,1.0,3,97.0,0.252796675780021,22,430.0
180.0,33,618.0,3.814814814814815,11.655207449760352,0,0.0,1.0,0,0.0,1.0,2,23.0,0.30910549453382813,0,0.0,1.0,0,0.0,1.0,7,125.0,0.07975024865149143,5,152.0,0.0,1,4.0,2.0728170566612814e-05,0,0.0,1.0,1,2.0,2.6001425499645233e-05,2,58.0,0.0,2,43.0,0.0,5,133.0,0.0,1,2.0,0.4728159380004184,5,132.0,6.09256593050816e-05,31,674.0
190.0,7,75.0,0.4411764705882353,13.97672162569667,0,0.0,1.0,0,0.0,1.0,1,26.0,0.0,0,0.0,1.0,0,0.0,1.0,4,46.0,0.0006399314351101095,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8087251572546215,0,0.0,1.0,0,1.0,0.7527673414041871,0,0.0,0.6943169350620786,0,0.0,1.0,1,3.0,0.0005438000820849859,0,0.0,1.0,6,76.0
200.0,9,147.0,0.8212290502793296,14.447217619712974,0,0.0,1.0,0,1.0,0.6974386156745477,1,36.0,0.0,0,0.0,0.9556098364382494,0,0.0,0.13936942804942684,4,86.0,0.221642013124407,0,0.0,1.0,0,4.0,0.9819766683012877,0,0.0,0.6361480563189249,0,0.0,1.0,1,7.0,1.6914282680512157e-05,1,5.0,0.17604839750099818,0,0.0,0.9899069260370659,1,15.0,0.7058790997535862,0,0.0,0.8349019467042473,8,154.0
210.0,23,288.0,1.5567567567567568,13.469073102753093,0,0.0,1.0,4,17.0,0.00040048097483089763,1,46.0,0.22102397793878203,0,0.0,1.0,3,18.0,0.2196271761068976,7,142.0,4.004331369537906e-06,0,0.0,0.9580496520355548,0,0.0,1.0,1,2.0,0.0002832109644752944,0,0.0,1.0,1,17.0,0.0,1,15.0,0.4825427521067688,0,4.0,0.9380364685081365,1,23.0,0.0,1,2.0,0.48923766394028095,20,286.0
220.0,17,269.0,1.4083769633507854,13.13222674307797,0,0.0,1.0,4,57.0,0.0,1,9.0,0.0,0,0.0,1.0,0,0.0,1.0,5,104.0,0.11650185373112458,0,0.0,0.432682167723261,0,0.0,1.0,0,0.0,0.6786982770499339,0,0.0,1.0,1,27.0,0.0,1,25.0,0.18389746999912795,0,0.0,1.0,1,33.0,0.005132037586497932,1,12.0,0.4138089823518054,14,267.0
230.0,13,69.0,0.3484848484848485,13.175788950226645,0,0.0,1.0,1,19.0,0.0944356915688907,1,19.0,0.5274712219573413,0,0.0,1.0,0,0.0,1.0,3,19.0,0.3756781836791099,1,4.0,0.0016491134666281012,1,6.0,0.27319968813068124,2,15.0,0.0,0,0.0,1.0,0,5.0,0.39833243818213854,3,9.0,0.0011289895682846972,0,0.0,1.0,0,0.0,1.0,0,5.0,0.4687083488017588,12,101.0
240.0,17,172.0,0.8349514563106796,12.992167039063553,0,0.0,0.8333279013796252,0,0.0,1.0,3,45.0,0.3100683685894304,0,0.0,1.0,0,0.0,1.0,4,52.0,0.37621591373483326,1,11.0,0.20727639057668767,2,22.0,0.3041587833809577,0,0.0,0.5781231955325499,0,0.0,1.0,1,13.0,0.2168512638517176,3,39.0,0.22185523731104964,0,20.0,0.4967244998734248,0,1.0,0.4943136886257727,1,8.0,0.38159103452258064,15,211.0
