step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1016184376_stopped,1016184376_accumulated_waiting_time,1016184376_average_speed,1016200794_stopped,1016200794_accumulated_waiting_time,1016200794_average_speed,5237321225_stopped,5237321225_accumulated_waiting_time,5237321225_average_speed,9376141054_stopped,9376141054_accumulated_waiting_time,9376141054_average_speed,GS_cluster_1016191643_1016191860_1016192269_1016198634_stopped,GS_cluster_1016191643_1016191860_1016192269_1016198634_accumulated_waiting_time,GS_cluster_1016191643_1016191860_1016192269_1016198634_average_speed,cluster_1016183180_1016185346_1016193503_1016194749_stopped,cluster_1016183180_1016185346_1016193503_1016194749_accumulated_waiting_time,cluster_1016183180_1016185346_1016193503_1016194749_average_speed,cluster_1016184252_1016191971_stopped,cluster_1016184252_1016191971_accumulated_waiting_time,cluster_1016184252_1016191971_average_speed,cluster_1016184655_1016193545_1016201012_9372174241_stopped,cluster_1016184655_1016193545_1016201012_9372174241_accumulated_waiting_time,cluster_1016184655_1016193545_1016201012_9372174241_average_speed,cluster_1016184997_1016188102_1016195714_5921483463_stopped,cluster_1016184997_1016188102_1016195714_5921483463_accumulated_waiting_time,cluster_1016184997_1016188102_1016195714_5921483463_average_speed,cluster_1016185040_1016195865_9372174234_9372174235_stopped,cluster_1016185040_1016195865_9372174234_9372174235_accumulated_waiting_time,cluster_1016185040_1016195865_9372174234_9372174235_average_speed,cluster_1016185522_1016193644_5237321232_5921362889_#1more_stopped,cluster_1016185522_1016193644_5237321232_5921362889_#1more_accumulated_waiting_time,cluster_1016185522_1016193644_5237321232_5921362889_#1more_average_speed,cluster_1016189230_1016195084_5921362584_9371895544_stopped,cluster_1016189230_1016195084_5921362584_9371895544_accumulated_waiting_time,cluster_1016189230_1016195084_5921362584_9371895544_average_speed,cluster_1016191702_1016195035_stopped,cluster_1016191702_1016195035_accumulated_waiting_time,cluster_1016191702_1016195035_average_speed,cluster_1016191801_1016199119_stopped,cluster_1016191801_1016199119_accumulated_waiting_time,cluster_1016191801_1016199119_average_speed,cluster_1016192514_4084049672_5921362888_stopped,cluster_1016192514_4084049672_5921362888_accumulated_waiting_time,cluster_1016192514_4084049672_5921362888_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,6.038240405274744,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,1,0.0,0.0,8.73438058931105,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
30.0,1,0.0,0.0,8.668334469313054,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
40.0,1,0.0,0.0,11.450347953293946,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9614950715932411,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
50.0,1,0.0,0.0,11.507009346001851,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6709995942856489,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
60.0,3,5.0,0.08333333333333333,11.99183378045032,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0,3.7397855451053427e-06,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0
70.0,2,14.0,0.2,14.109258931160177,0,0.0,1.0,0,0.0,1.0,0,0.0,0.24621954330433232,0,0.0,1.0,0,0.0,1.0,1,14.0,0.31648253777009466,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,14.0
80.0,4,36.0,0.45,12.848164445489198,0,0.0,1.0,0,0.0,1.0,1,7.0,0.0,0,0.0,1.0,0,0.0,1.0,2,29.0,4.102123518539002e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,36.0
90.0,4,66.0,0.7415730337078652,13.231794412813704,0,0.0,1.0,0,0.0,1.0,1,17.0,0.0,0,0.0,1.0,0,0.0,1.0,2,49.0,0.10639574561318194,0,0.0,1.0,0,0.0,0.36606201099127245,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,66.0
100.0,2,9.0,0.09183673469387756,13.996805664934033,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,9.0,0.46540710406473057,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,9.0
110.0,4,26.0,0.24299065420560748,14.939030390040761,1,1.0,0.0036488747551653936,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,25.0,0.013894882380697693,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9671542047246796,0,0.0,0.9771912861032366,0,0.0,1.0,0,0.0,0.819183144169732,0,0.0,1.0,0,0.0,1.0,3,26.0
120.0,6,67.0,0.5877192982456141,13.40588764170085,1,11.0,0.0,0,0.0,1.0,1,3.0,0.00032662250697674915,0,0.0,1.0,0,0.0,1.0,3,53.0,0.001891165470248089,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.008594970193808024,0,0.0,1.0,0,0.0,1.0,0,0.0,0.995957377727504,0,0.0,0.6659732629035928,5,67.0
130.0,9,85.0,0.6910569105691057,13.381401695377626,1,21.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0002631101913215493,2,44.0,0.0,1,2.0,0.00013931758448052398,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,10.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,5.0,0.0,7,84.0
140.0,6,48.0,0.36363636363636365,13.365069089795181,0,0.0,1.0,0,0.0,1.0,1,1.0,0.002672471479670444,0,0.0,1.0,2,15.0,0.2593523713723521,1,28.0,0.3831515351595934,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4558481406569033,0,0.0,1.0,0,5.0,0.3614825116354,1,4.0,0.39345337512586925,0,0.0,1.0,0,0.0,1.0,0,5.0,0.19039381294237637,5,58.0
150.0,13,105.0,0.7446808510638298,12.577305414424993,0,0.0,0.759437191934726,0,0.0,1.0,1,11.0,0.0,0,0.0,1.0,0,0.0,1.0,2,42.0,3.0712384436515e-05,3,17.0,0.0014156837918090385,0,0.0,1.0,1,7.0,0.01506351308170221,0,0.0,1.0,1,7.0,0.0006255106737669772,2,22.0,0.0,0,18.0,0.34097649040317113,0,0.0,1.0,2,17.0,0.00024511690896529293,12,141.0
160.0,18,254.0,1.7397260273972603,12.759983151632794,0,0.0,1.0,0,0.0,1.0,1,21.0,0.0,0,0.0,1.0,0,0.0,1.0,2,62.0,0.47749568048994667,4,57.0,0.0,0,0.0,0.21917781311860524,0,0.0,1.0,0,0.0,1.0,1,17.0,0.003916871291609837,2,42.0,0.0,4,46.0,0.0,0,0.0,1.0,2,37.0,0.0,16,282.0
170.0,22,383.0,2.487012987012987,11.417284900220354,0,0.0,1.0,0,0.0,1.0,1,31.0,0.17612793965799659,0,0.0,1.0,0,0.0,1.0,2,28.0,0.03891972421154551,5,103.0,7.519699272332852e-07,1,8.0,0.0,0,0.0,1.0,0,0.0,1.0,2,37.0,0.0,3,64.0,2.928615211750314e-05,4,86.0,0.05023419109151957,1,5.0,0.4704370517946797,2,61.0,0.3641367137022604,21,423.0
180.0,34,659.0,4.067901234567901,10.741133315868174,0,0.0,1.0,0,0.0,1.0,3,57.0,0.0,0,0.0,1.0,0,0.0,1.0,4,67.0,0.003052024989901187,5,153.0,0.0,1,18.0,0.0,0,0.0,1.0,1,1.0,0.0012994679400188374,2,57.0,0.0,4,95.0,0.0005495441903333129,6,135.0,0.0003125144108635859,1,15.0,0.07694315392938195,4,87.0,3.130089612519278e-05,31,685.0
190.0,6,58.0,0.34523809523809523,14.225448345772612,0,0.0,1.0,0,0.0,1.0,1,19.0,0.0,0,0.0,1.0,0,0.0,1.0,2,30.0,0.15201412963322578,0,0.0,0.5590995064163462,0,0.0,1.0,0,0.0,0.684919378763379,0,0.0,1.0,1,3.0,0.45892860551175224,0,0.0,0.6035187325461383,0,0.0,1.0,1,9.0,0.0,0,0.0,0.4070726319706866,5,61.0
