step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1016184376_stopped,1016184376_accumulated_waiting_time,1016184376_average_speed,5237321225_stopped,5237321225_accumulated_waiting_time,5237321225_average_speed,GS_cluster_1016191643_1016191860_1016192269_1016198634_stopped,GS_cluster_1016191643_1016191860_1016192269_1016198634_accumulated_waiting_time,GS_cluster_1016191643_1016191860_1016192269_1016198634_average_speed,cluster_1016183180_1016185346_1016193503_1016194749_stopped,cluster_1016183180_1016185346_1016193503_1016194749_accumulated_waiting_time,cluster_1016183180_1016185346_1016193503_1016194749_average_speed,cluster_1016184252_1016191971_stopped,cluster_1016184252_1016191971_accumulated_waiting_time,cluster_1016184252_1016191971_average_speed,cluster_1016184655_1016193545_1016201012_9372174241_stopped,cluster_1016184655_1016193545_1016201012_9372174241_accumulated_waiting_time,cluster_1016184655_1016193545_1016201012_9372174241_average_speed,cluster_1016184997_1016188102_1016195714_5921483463_stopped,cluster_1016184997_1016188102_1016195714_5921483463_accumulated_waiting_time,cluster_1016184997_1016188102_1016195714_5921483463_average_speed,cluster_1016185040_1016195865_9372174234_9372174235_stopped,cluster_1016185040_1016195865_9372174234_9372174235_accumulated_waiting_time,cluster_1016185040_1016195865_9372174234_9372174235_average_speed,cluster_1016185522_1016193644_5237321232_5921362889_#1more_stopped,cluster_1016185522_1016193644_5237321232_5921362889_#1more_accumulated_waiting_time,cluster_1016185522_1016193644_5237321232_5921362889_#1more_average_speed,cluster_1016189230_1016195084_5921362584_9371895544_stopped,cluster_1016189230_1016195084_5921362584_9371895544_accumulated_waiting_time,cluster_1016189230_1016195084_5921362584_9371895544_average_speed,cluster_1016191445_1016199645_stopped,cluster_1016191445_1016199645_accumulated_waiting_time,cluster_1016191445_1016199645_average_speed,cluster_1016191702_1016195035_stopped,cluster_1016191702_1016195035_accumulated_waiting_time,cluster_1016191702_1016195035_average_speed,cluster_1016191801_1016199119_stopped,cluster_1016191801_1016199119_accumulated_waiting_time,cluster_1016191801_1016199119_average_speed,cluster_1016192514_4084049672_5921362888_stopped,cluster_1016192514_4084049672_5921362888_accumulated_waiting_time,cluster_1016192514_4084049672_5921362888_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
110.0,5,45.0,0.42452830188679247,14.380838062852346,1,3.0,0.00011424734940125155,0,0.0,1.0,0,0.0,1.0,2,21.0,0.00862188259702344,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9786111121448163,1,20.0,0.0,0,0.0,0.3593241462626682,0,0.0,1.0,0,0.0,1.0,4,44.0
120.0,9,79.0,0.6810344827586207,13.034175288488425,1,13.0,0.0,1,1.0,0.003619361079795577,0,0.0,1.0,4,60.0,0.0,0,0.0,1.0,0,1.0,0.5824760880047353,0,0.0,1.0,0,0.0,1.0,1,3.0,0.474789156542064,0,0.0,1.0,0,0.0,0.10118554768084746,0,0.0,1.0,0,0.0,0.9994090151224637,0,0.0,1.0,7,78.0
130.0,7,80.0,0.6504065040650406,12.505279452753177,1,23.0,0.0,0,0.0,1.0,0,0.0,0.01207615105721295,3,43.0,7.778286098048714e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,13.0,0.0,0,0.0,1.0,1,1.0,0.0021722196584719093,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,6,80.0
140.0,7,57.0,0.4318181818181818,13.665821303574793,0,0.0,1.0,0,0.0,1.0,1,9.0,0.0,2,32.0,0.20947075660084438,1,3.0,0.4684525997868158,0,0.0,1.0,0,0.0,0.36625372950037133,0,0.0,1.0,1,2.0,0.00011585010419865697,0,0.0,0.5632516389769067,1,11.0,0.0,0,0.0,1.0,0,0.0,0.8716571697908869,0,5.0,0.6310915940780513,6,62.0
150.0,14,130.0,0.9219858156028369,12.840174621262937,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,55.0,1.3663710844900906e-05,4,30.0,7.975289783387374e-06,0,0.0,1.0,1,7.0,0.38454303638319914,0,0.0,1.0,1,12.0,0.0,1,6.0,0.3382946355334085,1,21.0,0.0,0,18.0,0.5104252199912463,0,0.0,0.011704068621494994,2,12.0,3.823975586713515e-05,13,161.0
160.0,20,275.0,1.8835616438356164,12.49423662911861,0,0.0,1.0,0,0.0,0.42145154461680767,0,0.0,0.010497136094744546,3,85.0,0.4853459109991183,5,66.0,0.0,0,0.0,1.0,1,6.0,0.0,0,0.0,1.0,1,22.0,0.42436743719026065,2,20.0,2.1965411025548592e-05,1,31.0,0.48250987365622416,3,34.0,0.0,1,9.0,0.0,2,32.0,0.0,19,305.0
170.0,24,433.0,2.811688311688312,12.276300055839378,0,0.0,1.0,1,7.0,0.00703123161271346,1,10.0,0.0,3,57.0,0.24178579365195949,5,116.0,0.0,0,0.0,1.0,1,16.0,0.0,0,0.0,1.0,2,34.0,1.1140739279470493e-05,2,40.0,0.0,2,48.0,0.0,3,64.0,0.21647009039529255,1,19.0,0.49260178810546895,2,54.0,0.2330025720879334,23,465.0
180.0,29,657.0,4.030674846625767,11.986096069204685,0,0.0,1.0,2,27.0,0.06536004112368506,0,0.0,1.0,6,106.0,8.787432993293465e-07,5,166.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,54.0,0.0,2,60.0,0.0025205841619949866,2,68.0,0.0,4,97.0,0.0021860620572895814,1,29.0,0.0,4,80.0,1.922504543447798e-06,28,687.0
190.0,6,81.0,0.47368421052631576,14.420991768298851,0,0.0,0.8556603282258894,1,20.0,0.0,0,0.0,1.0,3,34.0,0.1511377796277475,0,0.0,1.0,0,0.0,0.8218897000454881,0,0.0,0.5682522405759105,0,0.0,1.0,0,1.0,0.8158101405738001,0,0.0,0.6100431654055872,1,27.0,0.0,0,0.0,1.0,0,0.0,0.639691143198091,0,1.0,0.5873989773689656,5,83.0
200.0,14,168.0,0.9385474860335196,14.251091263589599,1,6.0,0.0,1,30.0,0.0,1,1.0,0.274767262754145,5,72.0,0.00013017463165202175,0,0.0,0.9775818279418983,0,0.0,0.981028353302261,0,0.0,1.0,0,0.0,0.44655240069971847,1,4.0,0.0,1,7.0,0.35975373936177296,1,38.0,0.5045588377741433,0,0.0,1.0,1,11.0,0.5998672894772757,0,2.0,0.731182017873806,12,171.0
