Agent_ID,State,Action_0,Action_1
1016184376,0000,-104.64774269999837,-105.56950052026173
1016184376,0010,-28.86326832252302,-25.335237110721604
1016200794,0000,-75.80405374086298,-75.47638601043887
1016200794,1010,-31.928810657619167,-25.494387311564505
1016200794,0010,-80.5270424047214,-86.82470920538773
1016200794,1000,-15.378718296440526,-9.22338041289471
5237321225,0000,-155.91676731173663,-171.9283858526504
5237321225,0100,-157.9924634741423,-157.28414200013668
5237321225,0101,-49.65374128023487,-56.784068931813216
5237321225,0001,-38.14165400226825,-40.261594716483444
9376141054,000,-37.5107966456442,-38.20430718101361
9376141054,100,-1.3718121225534168,0.0
9376141054,101,-7.740506502080815,-3.2
GS_cluster_1016191643_1016191860_1016192269_1016198634,000000,-43.28852947399904,-42.670472128287564
GS_cluster_1016191643_1016191860_1016192269_1016198634,100000,-6.6063016191649995,-3.071133515969018
cluster_1016183180_1016185346_1016193503_1016194749,00000000,-154.37074626906332,-154.08090771390675
cluster_1016183180_1016185346_1016193503_1016194749,01000000,-9.74022959139304,-14.34715099622145
cluster_1016183180_1016185346_1016193503_1016194749,10000000,-12.103477400688213,-15.005695188742346
cluster_1016183180_1016185346_1016193503_1016194749,00000100,-155.56363656744236,-155.39916035919003
cluster_1016183180_1016185346_1016193503_1016194749,01000100,-63.48201545210964,-69.00017107142813
cluster_1016183180_1016185346_1016193503_1016194749,00010000,-11.295002195549431,-13.566724043409305
cluster_1016183180_1016185346_1016193503_1016194749,00000010,-11.068481068608623,0.0
cluster_1016183180_1016185346_1016193503_1016194749,01010100,-91.34847544797955,-88.29934368242603
cluster_1016183180_1016185346_1016193503_1016194749,00010100,-11.547909044148518,0.0
cluster_1016183180_1016185346_1016193503_1016194749,00001100,-10.164014279949908,0.0
cluster_1016183180_1016185346_1016193503_1016194749,00001000,-14.478378966450734,-17.867065806903575
cluster_1016183180_1016185346_1016193503_1016194749,01010000,-17.881735172465156,-17.20359345295452
cluster_1016184252_1016191971,00000,-134.34393146780312,-134.81115755787624
cluster_1016184252_1016191971,00001,-1.5202033578375866,0.0
cluster_1016184252_1016191971,00010,-5.536507748627201,-2.6
cluster_1016184252_1016191971,10000,-11.538569962270026,-10.655827062929824
cluster_1016184655_1016193545_1016201012_9372174241,000000,-86.01217320717238,-86.23507479599652
cluster_1016184655_1016193545_1016201012_9372174241,100000,-13.985810763951324,-11.287069654390102
cluster_1016184655_1016193545_1016201012_9372174241,101000,-7.296871435826306,0.0
cluster_1016184655_1016193545_1016201012_9372174241,010000,-19.406594858932166,-22.587834098275618
cluster_1016184997_1016188102_1016195714_5921483463,00000,-79.18100069158046,-77.02366422101467
cluster_1016184997_1016188102_1016195714_5921483463,00010,-34.06234898281467,-35.22587800405882
cluster_1016184997_1016188102_1016195714_5921483463,10000,-42.92996149737769,-45.303256131760136
cluster_1016184997_1016188102_1016195714_5921483463,00001,-73.22289832418694,-72.53051170888033
cluster_1016184997_1016188102_1016195714_5921483463,01000,-4.2,0.0
cluster_1016184997_1016188102_1016195714_5921483463,01001,-4.041776094347268,0.0
cluster_1016184997_1016188102_1016195714_5921483463,10010,-10.766012382527599,-7.4233629963159
cluster_1016184997_1016188102_1016195714_5921483463,10001,-3.216684581243247,-6.3097812264099815
cluster_1016184997_1016188102_1016195714_5921483463,00011,-6.296700000000001,-13.130777381062737
cluster_1016184997_1016188102_1016195714_5921483463,00100,-1.5,-6.553210277784775
cluster_1016185040_1016195865_9372174234_9372174235,00000,-74.12589154412113,-74.61274337823873
cluster_1016185040_1016195865_9372174234_9372174235,00010,-11.24720109277617,-10.419248186677988
cluster_1016185040_1016195865_9372174234_9372174235,01000,-5.079904229433168,-8.873014150331795
cluster_1016185040_1016195865_9372174234_9372174235,01010,-2.651831979187629,0.0
cluster_1016185522_1016193644_5237321232_5921362889_#1more,00000,-68.95487956757638,-69.03137486782802
cluster_1016185522_1016193644_5237321232_5921362889_#1more,00100,-24.831421353604988,-25.12807366800994
cluster_1016185522_1016193644_5237321232_5921362889_#1more,00001,-10.210810619762766,-14.873659337776331
cluster_1016189230_1016195084_5921362584_9371895544,000000,-80.33683814227608,-76.85839777749106
cluster_1016189230_1016195084_5921362584_9371895544,000001,-7.45485414597141,-9.469643154997497
cluster_1016189230_1016195084_5921362584_9371895544,000011,-19.20101619283838,-12.584850427880529
cluster_1016189230_1016195084_5921362584_9371895544,001000,-52.91775385174656,-53.02140287484828
cluster_1016191702_1016195035,000000,-54.299007723493766,-54.87349552717366
cluster_1016191702_1016195035,000010,-20.37148486847724,-15.496910157319034
cluster_1016191702_1016195035,100000,-11.742089319995705,-16.14226558490102
cluster_1016191702_1016195035,000100,-21.665299750980658,-17.873707945734544
cluster_1016191702_1016195035,000110,-8.309913980266767,-4.0
cluster_1016191801_1016199119,00000,-69.13220752023612,-69.90373534025237
cluster_1016191801_1016199119,10000,-32.60600777748435,-30.18443130483572
cluster_1016191801_1016199119,00010,-8.984241905233523,-4.9725429922326665
cluster_1016192514_4084049672_5921362888,000000,-91.058985567727,-80.55853711726238
cluster_1016192514_4084049672_5921362888,000100,-31.788449280335065,-32.86009898087088
cluster_1016192514_4084049672_5921362888,010000,-105.04003517280498,-106.48813268005996
