Agent,State,A0,A1
cluster_1016192514_4084049672_5921362888,000000,-597.9818754086062,-622.677179029646
cluster_1016192514_4084049672_5921362888,010000,-863.3834853548087,-1031.789898685097
cluster_1016192514_4084049672_5921362888,000010,-515.2458117599484,-332.5461677954101
cluster_1016192514_4084049672_5921362888,020000,-515.9435382405467,-193.43930256759984
cluster_1016192514_4084049672_5921362888,000100,-13.5,0.0
cluster_1016192514_4084049672_5921362888,011100,-53.64154336983616,-26.75
cluster_1016192514_4084049672_5921362888,000020,-38.169916432789165,-31.5
cluster_1016192514_4084049672_5921362888,001000,-42.97478826828261,-9.049999999999999
cluster_1016192514_4084049672_5921362888,011000,-101.20658133629223,-70.98868104183518
cluster_1016192514_4084049672_5921362888,010010,-20.649417890617215,-7.563034236617148
cluster_1016192514_4084049672_5921362888,010100,-31.146655628025442,0.0
